Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
AB's - Absolute Barbecues,Hinjawadi,4.9,7029,1400,"['Continental', 'North Indian', 'Chinese']"
Cafe Co2 Resto Lounge,Bhugaon,4.6,2578,1500,"['North Indian', 'Chinese', 'Continental', 'Kebab', 'Seafood']"
Paasha - JW Marriott Pune,Senapati Bapat Road,4.6,3291,2500,"['North Indian', 'Kebab', 'Biryani']"
I Amsterdam,Hinjawadi,4.3,430,1400,"['Asian', 'European', 'Modern Indian', 'Italian']"
FC Road Social,Shivaji Nagar,4.5,2138,1500,"['North Indian', 'Chinese', 'Biryani', 'American', 'Continental']"
Flechazo,Wakad,4.6,4731,1400,"['Asian', 'Mediterranean', 'North Indian']"
Barbeque Nation - Sayaji Hotel,Wakad,4.5,2999,1700,"['North Indian', 'Mughlai', 'Salad', 'Kebab', 'BBQ']"
BeHive,Hinjawadi,4,1437,1400,"['North Indian', 'Chinese', 'Continental']"
Kayani Bakery,East Street,4.7,2296,150,['Bakery']
Exotica,Yerawada,4.2,3758,1400,"['North Indian', 'Chinese', 'Mediterranean', 'Continental']"
Planet 9,Bavdhan,4.6,,1500,"['North Indian', 'Mughlai', 'Biryani']"
Toit,Kalyani Nagar,4.6,948,1500,"['Modern Indian', 'American', 'Italian']"
Smoky Beach,Bhugaon,4.2,280,1300,"['Chinese', 'Continental', 'North Indian', 'Italian']"
Barbeque Ville,Wakad,4.4,3435,1000,"['North Indian', 'BBQ']"
Thorat's Baarbeque Misal,Narhe,4,259,250,['Street Food']
2BHK Diner & Key Club,Bund Garden Road,4.2,498,1800,"['North Indian', 'Mediterranean', 'European', 'Finger Food']"
The Mafia,Viman Nagar,4.1,317,1500,"['North Indian', 'Continental', 'Asian', 'Italian']"
The Cult - Terra,Magarpatta,4.4,,1700,"['North Indian', 'Continental', 'Lebanese', 'Italian', 'Seafood', 'Asian']"
Le Plaisir,Deccan Gymkhana,4.7,4665,1000,"['European', 'Italian', 'Continental']"
Teritree,Hadapsar,3.7,,1600,"['North Indian', 'Chinese', 'Continental']"
Sukanta,Deccan Gymkhana,4.1,3243,700,"['Gujarati', 'North Indian', 'Maharashtrian']"
Tarsh Gastronomia,Hinjawadi,4.4,3006,1500,"['North Indian', 'Italian', 'Asian', 'Mediterranean', 'Continental', 'European', 'Kebab', 'BBQ']"
TTF - The Tenth Floor,Baner,4.4,,1500,"['North Indian', 'Continental', 'Finger Food']"
The Barkhana,Wakad,4.7,1334,1700,"['North Indian', 'Continental', 'Chinese']"
Publiq,Hinjawadi,4,1983,1600,"['Bar Food', 'Asian', 'North Indian', 'Italian']"
Atmosphere 6,Viman Nagar,4,2938,1700,"['North Indian', 'Continental', 'Chinese', 'Italian', 'Salad']"
